Descriptor,Values
ABC,0.01330219132861199
ABCGG,0.013952780433790668
nAcid,0.014495524980723956
nBase,0.027735920468689557
nHeavyAtom,0.012056832779675286
nBridgehead,0.001282729538857691
nHetero,0.010978365843802962
nH,0.01151211146406439
nC,0.015507635787155749
nN,0.06368278556199947
nO,0.02940213191875074
nS,0.007657163926465427
nX,-0.004432445276960961
ATS0dv,0.007486777538088685
ATS1dv,0.018289460987059858
ATS2dv,0.011144793167404465
ATS3dv,0.012943803574479773
ATS5dv,0.01528945110654334
ATS6dv,0.015709451254123152
ATS7dv,0.019319732589133665
ATS8dv,0.02140808554468876
ATS0d,0.012622678337710802
ATS1d,0.0133175287199232
ATS2d,0.011722435191115377
ATS6d,0.011868487402538985
ATS7d,0.018045042438129766
ATS8d,0.022594121808340528
ATS0Z,0.0020208779119785802
ATS1Z,0.008647299174982415
ATS2Z,0.008427823708020643
ATS3Z,0.005377469215082531
ATS5Z,0.011078757321781207
ATS6Z,0.016557886397532418
ATS7Z,0.015730822494216756
ATS8Z,0.014411463742106445
ATS0m,0.0010089499957870451
ATS1m,0.008443514980868372
ATS2m,0.008164475396907456
ATS3m,0.00482154674164903
ATS4m,0.007499271477440228
ATS5m,0.011780313762876471
ATS6m,0.017931006378765435
ATS7m,0.014192036307895783
ATS8m,0.0133599917539029
ATS0v,0.013155460143381426
ATS1v,0.01302820497806545
ATS2v,0.01360133185532364
ATS6v,0.01415099700094924
ATS7v,0.021413048479380414
ATS8v,0.02551183215612607
ATS0se,0.012036943036441095
ATS1se,0.012752028605864663
ATS3se,0.01238898541665101
ATS4se,0.011716795713597516
ATS5se,0.010255687881225217
ATS6se,0.010209240112879936
ATS7se,0.014677405791978959
ATS8se,0.02240905822895245
ATS0are,0.010792488772378928
ATS1are,0.012830231287078497
ATS2are,0.012858898254050732
ATS3are,0.011867310202820391
ATS4are,0.011146665089084795
ATS5are,0.009763011568845403
ATS6are,0.010254291870589238
ATS7are,0.015073856310838352
ATS8are,0.023012195587786444
ATS0p,0.011627172036268174
ATS1p,0.012976239993924388
ATS2p,0.013355555815987241
ATS6p,0.012779241909233185
ATS7p,0.018481343985903287
ATS8p,0.02584608046499115
ATS1i,0.01268463296330058
ATS2i,0.01311269006566862
ATS3i,0.013457693990197583
ATS4i,0.012365222920132535
ATS5i,0.010963838794058933
ATS6i,0.009922569323528752
ATS7i,0.014075446750366538
ATS8i,0.020995487364096288
AATS0dv,0.00795589492915827
AATS1dv,0.020068681835442526
AATS2dv,0.015485448444974459
AATS3dv,0.022872034812661646
AATS4dv,0.024556899834422552
AATS5dv,0.023297765844759954
AATS6dv,0.01871942092541934
AATS7dv,0.01891350740319453
AATS8dv,0.02057164319055982
AATS0d,0.029205629624633023
AATS1d,0.02880710529678554
AATS2d,0.02826693009438097
AATS3d,0.025640100042980674
AATS4d,0.03169482431192172
AATS5d,0.047995489479907505
AATS6d,0.044146405209616546
AATS7d,0.05356093768021131
AATS8d,0.0563150333390281
AATS0Z,0.0003783488140416402
AATS1Z,0.012072477412122584
AATS2Z,0.010148334227368494
AATS3Z,0.011725432165950789
AATS4Z,0.008142692762739046
AATS5Z,0.014474214702416166
AATS6Z,0.012900716006292612
AATS7Z,0.012754715841527098
AATS8Z,0.015022729684000868
AATS0m,-4.501937289624891e-07
AATS1m,0.012164804855665956
AATS2m,0.010253411570082749
AATS3m,0.011181583673184115
AATS4m,0.00850741696829882
AATS5m,0.015533585699994301
AATS6m,0.012867756564876931
AATS7m,0.012067105090283636
AATS8m,0.01360998101249189
AATS0v,0.021085791215963656
AATS1v,0.02576371878082062
AATS2v,0.028636041166334447
AATS3v,0.03615894549083842
AATS4v,0.02175843820931167
AATS5v,0.030947801343752968
AATS6v,0.03832768076444637
AATS7v,0.04028560787210944
AATS8v,0.04316294211047822
AATS0se,0.0046549451114612506
AATS1se,0.012059532367037828
AATS2se,0.00915882019554104
AATS3se,0.01397564050729061
AATS4se,0.014602253470304305
AATS5se,0.014167425682774848
AATS6se,0.009945608687617735
AATS7se,0.017543583833568466
AATS8se,0.01372105281946201
AATS0pe,0.0034988988752207018
AATS1pe,0.010042872672300085
AATS2pe,0.006734247263497917
AATS3pe,0.015048442034322207
AATS4pe,0.01398083281059792
AATS5pe,0.014456423353213843
AATS6pe,0.010712389321919868
AATS7pe,0.018128381270283267
AATS8pe,0.012653825988726997
AATS0are,0.003164785301511097
AATS1are,0.010899046129348111
AATS2are,0.006490094065342289
AATS3are,0.014809980779454612
AATS4are,0.014335474610758236
AATS5are,0.01442047961504267
AATS6are,0.009845414612527748
AATS7are,0.01745541467911238
AATS8are,0.011963506845283689
AATS0p,0.010210898860276485
AATS1p,0.0175516408805656
AATS2p,0.018932761892175076
AATS3p,0.020568520626361053
AATS4p,0.012031414689618103
AATS5p,0.014102627938663126
AATS6p,0.022250234616359776
AATS7p,0.03128409067803206
AATS8p,0.03519272570216003
AATS0i,0.016958214000170724
AATS1i,0.025618729039344146
AATS2i,0.03202058711829814
AATS3i,0.037257684146177805
AATS4i,0.03921455413507324
AATS5i,0.02698209136279006
AATS6i,0.015954111485111167
AATS7i,0.033672931957617
AATS8i,0.025440166017016708
ATSC0c,0.023632462057256554
ATSC1c,0.06255714021207526
ATSC2c,0.03665121266236815
ATSC3c,0.011371212004934073
ATSC4c,0.014202671468135808
ATSC5c,0.021833671099792618
ATSC6c,0.02034764865742833
ATSC7c,0.016782656142107832
ATSC8c,0.023874988130789365
ATSC0dv,0.007453945892091252
ATSC1dv,0.02871245497673547
ATSC2dv,0.019599130851335467
ATSC3dv,0.025838914502493093
ATSC4dv,0.01721683348095482
ATSC5dv,0.009917979858783177
ATSC6dv,0.010932637621229535
ATSC7dv,0.01624614773420463
ATSC8dv,0.030295506869221
ATSC0d,0.011275084909088129
ATSC1d,0.012308530247326477
ATSC2d,0.011153999684688332
ATSC3d,0.023678363164099547
ATSC4d,0.02672893700925849
ATSC5d,0.024006680732529873
ATSC6d,0.031210329632584077
ATSC7d,0.03924831527696604
ATSC8d,0.034876225294046215
ATSC0Z,0.0005695756785972783
ATSC1Z,0.010457490239175193
ATSC2Z,0.028330874080404467
ATSC3Z,0.00977401657171395
ATSC4Z,0.002735043174070917
ATSC5Z,-0.007379606934138305
ATSC6Z,-0.0029361501541220747
ATSC7Z,0.0020761159861404366
ATSC8Z,0.022282155004456072
ATSC0m,0.00019671863294101755
ATSC1m,0.010376095704453636
ATSC2m,0.027756972780200506
ATSC3m,0.009505329317875066
ATSC4m,0.0025240559628842973
ATSC5m,-0.007024115586189872
ATSC6m,-0.0027238934487949784
ATSC7m,0.0022434886512283647
ATSC8m,0.02278786401921984
ATSC0v,0.011601939160009955
ATSC1v,0.031587245184383494
ATSC2v,0.02218663391842024
ATSC3v,0.020745358731647734
ATSC4v,0.00941077769744414
ATSC5v,0.00782011934168203
ATSC6v,0.012494654419582751
ATSC7v,0.019491091508671232
ATSC8v,0.022471199279805454
ATSC0se,0.0026732448578754564
ATSC1se,0.04581902288717998
ATSC2se,0.007288274633081571
ATSC3se,0.010481380339387947
ATSC4se,0.007724368862610298
ATSC5se,0.011461303573815584
ATSC6se,0.005433450402723139
ATSC7se,0.008401153260416905
ATSC8se,0.01767259488895423
ATSC1pe,0.040344675002416786
ATSC0are,0.00037814092488663853
ATSC1are,0.046918501857507344
ATSC2are,0.008412893630037832
ATSC3are,0.009311581768621124
ATSC4are,0.007993930219125644
ATSC5are,0.013709563893391952
ATSC6are,0.0036875620801453124
ATSC7are,0.00898993478850496
ATSC8are,0.018098437612354967
ATSC0p,0.009514779141064356
ATSC1p,0.02860599082468296
ATSC2p,0.023747745125756836
ATSC3p,0.023194363268879137
ATSC4p,0.00920974625323323
ATSC5p,0.015442277509312152
ATSC6p,0.009204809382835855
ATSC7p,0.021604495422367087
ATSC8p,0.01724206180442911
ATSC0i,0.003937408776099716
ATSC1i,0.04605497134278824
ATSC2i,0.019291110104395326
ATSC3i,0.045072940413309226
ATSC4i,0.01658969484268047
ATSC5i,0.02951412266017428
ATSC6i,0.006646125291772442
ATSC7i,0.03661111031492359
ATSC8i,0.025197182649033145
AATSC0c,0.02284579216973226
AATSC1c,0.0750339449534696
AATSC2c,0.03042349847673309
AATSC3c,0.01116724554490034
AATSC4c,0.014961922171357056
AATSC5c,0.01892593807786458
AATSC6c,0.023121132784861054
AATSC7c,0.020451843000989456
AATSC8c,0.030783551878956317
AATSC0dv,0.0103564843422288
AATSC1dv,0.038748923963449755
AATSC2dv,0.02446193640266303
AATSC3dv,0.03633584971291581
AATSC4dv,0.0267554067956568
AATSC5dv,0.018279182145956696
AATSC6dv,0.013207636540371936
AATSC7dv,0.0220263289095306
AATSC8dv,0.03154243632522302
AATSC0d,0.02320001756982437
AATSC1d,0.02343640746348008
AATSC2d,0.01796856233883304
AATSC3d,0.042812964219334226
AATSC4d,0.04009508066239498
AATSC5d,0.0347039486276568
AATSC6d,0.037219723668730165
AATSC7d,0.04187479670168903
AATSC8d,0.04822463238948416
AATSC0Z,-0.0005640191187017418
AATSC1Z,0.012201798642423434
AATSC2Z,0.03638471120493225
AATSC3Z,0.014911131961949486
AATSC4Z,0.006581569962880618
AATSC5Z,-0.004504116937758873
AATSC6Z,-0.001821854246772503
AATSC7Z,0.005133308456639618
AATSC8Z,0.029806329396567577
AATSC0m,-0.0007212232168902766
AATSC1m,0.012133233468589744
AATSC2m,0.035447848119373404
AATSC3m,0.014322168906262256
AATSC4m,0.006426594555869691
AATSC5m,-0.004583869858006295
AATSC6m,-0.0016571263707536588
AATSC7m,0.0050984868209460465
AATSC8m,0.03026543982550045
AATSC0v,0.020896331403073454
AATSC1v,0.0245857940530545
AATSC2v,0.025376158312372166
AATSC3v,0.02871308427534336
AATSC4v,0.014477329211756818
AATSC5v,0.017411152640804062
AATSC6v,0.017440474152434327
AATSC7v,0.0262176275769761
AATSC8v,0.02913148413881883
AATSC0se,0.004503088809579392
AATSC1se,0.04402286942102407
AATSC2se,0.008588279137377919
AATSC3se,0.012916532463049801
AATSC4se,0.015327247693083912
AATSC5se,0.013520960704752838
AATSC6se,0.007477343276861781
AATSC7se,0.0122806667469888
AATSC8se,0.02180412112155139
AATSC0pe,0.0017819764625850443
AATSC1pe,0.04913653259665285
AATSC0are,0.001598123233856441
AATSC1are,0.05339660988157657
AATSC2are,0.010009302853981605
AATSC3are,0.011475954820289402
AATSC4are,0.01510909051021514
AATSC5are,0.016242601906934162
AATSC6are,0.006839330918831266
AATSC7are,0.012845421538628443
AATSC8are,0.022316752773015924
AATSC0p,0.009048965361944994
AATSC1p,0.024991278508990966
AATSC2p,0.026195808902953477
AATSC3p,0.02921339091661279
AATSC4p,0.015255343378504094
AATSC5p,0.03156056895948778
AATSC6p,0.014038007635821081
AATSC7p,0.025638799634948306
AATSC8p,0.024398617925736055
AATSC0i,0.002967688638826127
AATSC1i,0.04310830405318855
AATSC2i,0.022265999289805105
AATSC3i,0.06319624213528252
AATSC4i,0.027116476546054535
AATSC5i,0.044852505716903135
AATSC6i,0.010681969359630283
AATSC7i,0.04668025003444409
AATSC8i,0.03931244671139389
MATS1c,0.05394647267919295
MATS2c,0.04960903788321902
MATS3c,0.018140088927846687
MATS4c,0.02920289368824447
MATS5c,0.023385114334216084
MATS6c,0.025188951557570505
MATS7c,0.028440869086454157
MATS8c,0.031847924639558656
MATS1dv,0.02884950969257849
MATS2dv,0.03216318199618229
MATS3dv,0.03719273056286143
MATS4dv,0.03196469771128552
MATS5dv,0.016120203254022414
MATS6dv,0.014296001371417955
MATS7dv,0.027999085755641584
MATS8dv,0.0318959630795268
MATS1d,0.02404155616286996
MATS2d,0.023876825888198283
MATS3d,0.04074343655658863
MATS4d,0.038280890370655296
MATS5d,0.034159675985772964
MATS6d,0.039000695403755614
MATS7d,0.039259255311308916
MATS8d,0.04636916874372288
MATS1m,0.013996830944285055
MATS2m,0.035288994704645305
MATS3m,0.017704201800825548
MATS4m,0.011390371872807226
MATS5m,0.004392849483018324
MATS6m,0.0034269101091815024
MATS7m,0.010297110060059289
MATS8m,0.03236495004378348
MATS1v,0.022031570125542466
